,,,,,,,,,,,,,,,COMPOSITION OF GOVERNMENT DEBT,,,,,,,,,,,,,,,
Year,Month,Repo Rate,Reverse Repo Rate,Interbank Rate,Cash Reserve Requirement Rate,Central Bank Rate,North America Diaspora Remittances  (USD '000),Europe Diaspora Remittances  (USD '000),Rest of World Diaspora Remittances  (USD '000),Not Allocated (USD '000),Commercial Banks Weighted Average Deposit Rate,Commercial Banks Weighted Average Savings Rate,Commercial Banks Weighted Average Lending Rate,Commercial Banks Weighted Average Overdraft Rate,Treasury Bills* (shillings million),Treasury Bonds (shillings million),Government Stocks (shillings million),Overdraft at Central Bank (shillings million),Advances from Commercial Banks (shillings million),Other Domestic Debt** (shillings million),External Debt (shillings million),Average Annual Inflation Rate,Nairobi Upper Income Inflation Rate,Nairobi Middle Income Inflation Rate,Nairobi Lower Income Inflation Rate,Rest of Kenya Inflation Rate,Consumer Price Index,Real Estate Growth (shillings million - Annual),Nominal Annual GDP (shillings million - Annual),Annual GDP Rate
2019,August,7.37,-,3.7,5.25,9,"110,857.53","43,483.59","59,972.83",0,6.91,4.54,12.46,11.97,"968,954.40","1,843,909.59",0,"59,552.50","3,368.22","1,252.52","3,133,543.34",5.32,5.35,4.75,5.66,4.49,104.04,,,
2019,September,8.69,-,6.59,5.25,9,"109,494.80","40,954.12","64,204.79",0,6.98,4.58,12.47,11.99,"949,974.30","1,831,764.14",0,"68,231.52","3,403.54","1,252.69","3,111,767.28",5.4,3.9,3.61,5.03,3.25,104.2,,,
2019,October,7.83,-,6.86,5.25,9,"110,113.09","46,463.95","67,720.14",0,6.96,4.44,12.43,11.88,"917,880.10","1,912,129.74",0,"65,503.90","2,726.83","1,248.60","3,127,601.25",5.24,5.17,4.1,6.81,4.14,104.54,,,
2019,November,6.52,,4.24,5.25,8.5,"110,840.57","43,574.87","64,429.31",0,6.56,4.47,12.38,11.63,"917,192.00","1,940,474.19",0,"57,230.74","3,560.20","1,252.97","3,114,959.69",5.19,5.3,4.17,7.2,4.95,105.17,,,
2019,December,7.45,,6.03,5.25,8.5,"123,986.76","50,249.37","76,071.61",0,7.11,4.02,12.24,11.67,"900,000.60","1,977,041.54",0,"63,724.46","2,446.92","1,237.83","3,106,822.96",5.2,5.33,4.35,7.94,4.98,106,"946,732","10,237,727",5.1
2020,January,5.38,,4.39,5.25,8.25,"124,974.18","46,186.59","88,231.94",0,7.07,4.25,12.29,11.97,"900,519.40","2,041,057.39",0,"59,193.96","3,480.11","1,242.26","3,112,897.95",5.29,5.76,4.34,7.1,5.32,106.51,,,
2020,February,4.44,,4.84,5.25,8.25,"111,226.07","39,013.19","68,752.67",0,7.06,4.2,12.19,11.82,"938,379.00","2,069,240.49",0,"30,465.84","3,421.27","1,250.76","3,117,038.57",5.72,3.41,3.34,8.36,7.89,107.17,,,
2020,March,6.13,,4.4,4.25,7.25,"127,925.66","45,431.94","55,453.18",0,7.07,4.15,12.09,11.79,"921,687.70","2,092,635.74",0,"54,181.61","2,790.50","1,241.64","3,212,634.23",5.84,2.89,3.29,6.9,6.24,107.47,,,
2020,April,6.36,,5.13,4.25,7,"118,708.75","34,944.72","54,564.26",0,7.01,4.21,11.92,11.55,"909,825.35","2,152,065.14",0,"54,592.58","4,043.07","1,237.48","3,317,330.98",6.03,2.9,3.4,6.77,6.55,108.49,,,
2020,May,4.25,7.31,3.91,4.25,7,"145,945.88","42,655.89","69,548.29",0,6.96,4.18,11.95,11.61,"918,787.10","2,181,800.09",0,"50,147.52","3,511.06","1,245.98","3,496,428.84",6.18,2.67,2.68,6.08,5.84,108.6,,,
2020,June,3.5,,3.27,4.25,7,"147,297.12","43,803.61","97,443.64",0,6.86,4.15,11.89,11.24,"907,651.50","2,220,339.49",0,"47,149.78","2,007.33","1,273.18","3,515,812.00",6.16,2.29,2.79,5.42,4.84,108.27,,,
2020,July,3.84,,2.12,4.25,7,"144,183.77","47,761.97","85,041.94",0,6.78,4.11,11.94,11.18,"970,609.95","2,297,846.54",0,0,"3,841.86","1,253.09","3,638,506.49",6.01,2.01,1.84,5.44,4.68,108.35,,,
2020,August,3.59,7.38,2.56,4.25,7,"159,722.80","47,591.46","66,824.18",0,6.64,4.11,11.94,11.18,"936,232.70","2,418,317.99",0,"43,400.39","3,305.26","1,244.39","3,666,321.29",5.87,2.68,1.79,5.3,4.69,108.57,,,
2020,September,3.18,7.65,2.95,4.25,7,"161,256.18","39,333.83","60,082.40",0,6.41,3.78,11.75,11.15,"914,688.60","2,482,244.14",0,"56,206.33","2,717.31","1,250.12","3,663,491.22",5.79,2.29,1.67,5.26,4.5,108.57,,,
2020,October,3.97,,2.69,4.25,7,"164,752.46","43,387.69","54,960.74",0,6.26,3.38,11.98,11.44,"878,634.75","2,511,271.34",0,"63,534.99","2,937.44","1,266.10","3,705,644.24",5.67,2.57,2.31,5.24,5.43,109.6,,,
2020,November,6.64,,3.27,4.25,7,"156,086.75","46,800.53","54,798.36",0,6.31,3.42,11.99,11.39,"884,210.20","2,541,515.39",0,"52,706.83","2,964.60","1,256.53","3,771,808.47",5.53,2.28,2.32,5.26,6.28,110.78,,,
2020,December,6.87,7.7,5.29,4.25,7,"182,336.71","59,920.22","57,322.32",0,6.3,2.7,12.02,11.51,"875,669.70","2,561,331.24",0,"47,597.70","2,699.27","1,243.27","3,793,285.24",5.41,2.38,2.86,6.08,6.3,111.87,"995,910","10,716,034",-0.3
2021,January,5.82,7.67,5.12,4.25,7,"177,413.63","46,034.91","54,898.11",0,6.31,2.73,12,11.43,"805,415.10","2,667,020.29",0,"55,270.86","3,608.98","1,246.29","3,819,699.66",5.74,2.91,3.11,5.7,6.48,112.58,,,
2021,February,6.04,,4.49,4.25,7,"160,892.74","50,423.35","48,969.68",0,6.47,3.37,12.02,11.52,"767,398.95","2,703,562.48",0,"55,399.91","3,576.67","1,244.93","3,814,288.77",5.16,3.05,3.3,5.73,6.56,113.36,,,
2021,March,6.12,7.78,5.23,4.25,7,"171,144.37","63,775.42","55,851.40",0,6.46,3.48,12.05,11.61,"781,297.65","2,734,467.78",0,"49,282.82","3,550.92","1,241.40","3,769,866.74",5.17,3.7,3.48,5.78,6.65,113.81,,,
2021,April,6.61,7.51,5.12,4.25,7,"179,810.14","64,566.83","54,913.42",0,6.3,2.66,12.08,11.66,"766,563.50","2,796,709.18",0,"65,844.50","2,557.60","1,240.02","3,778,131.44",4.66,3.55,3.45,5.67,6.47,114.75,,,
2021,May,6.05,,4.62,4.25,7,"190,748.28","68,658.03","56,395.50",0,6.3,2.55,12.06,11.57,"777,068.65","2,829,728.83",0,"75,441.14","3,400.37","1,252.73","3,799,018.81",5.2,3.71,3.86,5.86,6.48,114.98,,,
2021,June,5.37,,4.63,4.25,7,"189,374.46","62,956.17","53,571.09",0,6.37,2.55,12.02,11.18,"784,774.75","2,849,935.63",0,"59,279.44","2,455.40",647.97,"3,999,542.00",5.35,4.15,3.6,6.17,7.15,115.11,,,
2021,July,5.31,,4.17,4.25,7,"206,435.23","71,285.77","58,990.49",0,6.34,2.51,12.09,11.44,"770,951.95","2,943,979.08",0,"72,914.62","3,644.05",657.19,"4,020,629.30",5.53,4.46,5.09,6.18,7.17,115.45,,,
2021,August,5.41,,3.1,4.25,7,"192,976.36","59,252.77","60,702.06",0,6.3,2.64,12.12,11.38,"778,585.55","3,025,014.78",0,"56,759.52","3,890.22",625.71,"4,054,862.85",5.71,3.81,5.2,6.33,7.19,115.71,,,
2021,September,5.54,7.62,4.73,4.25,7,"199,697.86","53,208.89","56,897.68",0,6.34,2.57,12.1,11.34,"782,853.25","3,096,840.78",0,"55,110.01","2,351.71",621.7,"4,062,504.78",5.35,4.84,5.44,6.47,7.58,116.08,,,
2021,October,6.4,,5.3,4.25,7,"226,235.88","47,744.68","63,432.00",0,6.39,2.58,12.12,11.33,"754,054.60","3,139,419.88",0,"62,347.47","3,061.69",639.66,"4,083,124.54",6.07,4.61,4.79,6.52,6.93,116.67,,,
2021,November,5.03,,4.97,4.25,7,"215,252.99","42,509.66","62,310.97",0,6.43,2.6,12.15,11.41,"739,168.35","3,203,904.01",0,"60,494.46","3,894.84",615.65,"4,109,282.85",6.1,4.87,4.71,5.86,6.08,117.2,,,
2021,December,5.31,8.37,5.02,4.25,7,"227,510.39","52,835.01","70,216.98",0,6.5,2.55,12.16,11.45,"727,994.55","3,242,241.61",0,"59,312.78","2,208.62",610.63,"4,174,371.53",5.62,4.74,4.47,5.74,6.07,118,"1,072,543","12,098,200",7.5
2022,January,5.09,8.51,4.36,4.25,7,"215,528.88","57,828.80","65,362.07",0,6.53,2.55,12.12,11.57,"723,139.80","3,304,897.01",0,"75,150.54","6,301.64",631.53,"4,155,788.44",6.08,4.29,3.99,5.65,5.67,118.64,,,
2022,February,,8.46,4.73,4.25,7,"182,405.81","66,515.55","72,610.42",0,6.61,2.56,12.17,11.63,"698,323.20","3,400,347.01",0,"74,695.10","7,428.95",626.23,"4,157,763.28",6.23,3.67,3.81,5.41,5.34,119.13,,,
2022,March,,8.54,4.73,4.25,7,"222,531.25","64,222.13","76,828.28",0,6.5,2.48,12.15,11.5,"675,295.30","3,440,610.21",0,"68,395.18","6,847.82",622.5,"4,209,560.22",6.29,3.77,4.05,5.9,5.88,120.14,,,
2022,April,5,8.78,4.67,4.25,7,"219,152.83","61,026.35","74,857.97",0,6.58,2.56,12.2,11.69,"659,444.30","3,501,346.51",0,"58,631.49","6,798.56",622.55,"4,243,534.44",6.05,5.04,4.89,6.74,6.81,122.17,,,
2022,May,6.4,8.2,4.6,4.25,7.5,"203,366.18","60,537.34","75,779.71",0,6.59,2.52,12.22,11.76,"650,046.00","3,543,865.10",0,"63,046.87","11,070.27",628.56,"4,295,102.46",6.16,5.3,5.34,7.32,7.5,123.12,,,
2022,June,6.8,8.4,5.06,4.25,7.5,"192,716.73","59,207.66","74,135.40",0,6.62,2.5,12.27,11.86,"647,043.70","3,569,092.01",0,"58,502.25","13,054.41",640.6,"4,290,775.57",6.29,5.71,6.25,8.19,8.32,124.22,,,
2022,July,7.24,8.59,5.5,4.25,7.5,"192,757.71","55,940.13","70,706.45",0,6.74,2.94,12.35,12.02,"665,244.30","3,585,114.16",0,"45,439.46","14,245.63",647.99,"4,299,821.20",6.45,6.01,6.27,8.75,8.79,125.02,,,
2022,August,-,9.21,5.35,4.25,7.5,"186,466.96","54,740.40","69,299.67",0,6.93,3.47,12.43,12.1,"678,260.55","3,595,250.31",0,"49,145.21","11,974.22",643.15,"4,327,930.65",6.61,6.2,6.47,9.19,8.88,125.58,,,
2022,September,-,9.63,4.36,4.25,8.25,"192,844.04","55,491.70","69,645.25",0,6.82,3.44,12.41,11.99,"690,569.05","3,634,864.41",0,"27,247.35","12,965.12",632.76,"4,334,790.82",6.81,6.92,7.34,9.75,9.51,126.73,,,
2022,October,-,9.78,5.44,4.25,8.25,"198,262.67","62,972.65","71,394.00",0,7.01,3.46,12.39,11.96,"679,456.30","3,632,708.90",0,"59,819.48","13,452.05",657.61,"4,359,569.49",7.48,7.07,7.88,10.17,9.92,127.76,,,
2022,November,7.65,9.7,4.61,4.25,8.75,"200,404.95","67,185.24","77,858.47",0,7.11,3.5,12.64,12.16,"705,967.70","3,673,801.94",0,"41,701.92","13,824.18",641.43,"4,462,891.06",7.38,6.9,7.78,10.36,9.68,128.31,,,
2022,December,,9.84,5.39,4.25,8.75,"206,211.25","67,802.06","83,285.37",0,7.17,3.56,12.67,12.22,"689,244.30","3,710,621.74",0,"58,498.05","13,827.53",646.9,4673144.127,7.66,6.86,7.49,9.23,9.5,128.99,,,
2023,January ,-,10.01,5.89,4.25,8.75,"212,010.98","59,838.87","77,541.98",0,7.47,3.6,12.77,12.34,"676,659.60","3,744,037.59",0,"65,998.59","14,370.13",648.23,4681115.475,,7.05,7.69,9.11,9.35,129.29,,,
2023,February,,10.1,6.42,4.25,8.75,"189,034.56","56,820.89","63,317.25",0,7.54,3.58,13.06,12.62,"693,142.45","3,773,447.09",0,"68,726.10","15,599.72",645.91,,,,,,,130.13,,,
2023,March,,,,,,"212,079.84","66,569.69","78,330.94",0,,,,,,,,,,,,,,,,,131.18,,,
